Parameter,Value
GTID,nchi7
1_Mean Absolute Error,3429.433053
1_Root Mean Squared Error,4407.536669
1_Relative Absolute Error,0.974516
1_Relative Squared Error,1.047278
1_Coefficient of Determination,-0.047278
2_Mean Absolute Error,3594.169472
2_Root Mean Squared Error,4653.219581
2_Relative Absolute Error,0.990537
2_Relative Squared Error,1.205606
2_Coefficient of Determination,-0.205606
3_Root Mean Squared Error (RMSE) for 1st fold,3084.40668
3_Root Mean Squared Error (RMSE) for 2nd fold,3800.154411
3_Root Mean Squared Error (RMSE) for 3rd fold,2968.807541
3_Root Mean Squared Error (RMSE) for 4th fold,1668.712167
3_Root Mean Squared Error (RMSE) for 5th fold,2248.933919
3_Coefficient of Determination for 1st fold,0.649834
3_Coefficient of Determination for 2nd fold,0.822008
3_Coefficient of Determination for 3rd fold,0.581131
3_Coefficient of Determination for 4th fold,0.490479
3_Coefficient of Determination for 5th fold,0.754391
